timestamp,prolific_id,age,gender,religion,ethnic_group,education,primary_language,type_of_residence,income,political_stance,favorite_activities,important_values,personality,social_tendency,hobby,num_places_lived,social_relationship_values,primary_goal,meaningful_events,values_in_friends,what_to_do_with_100_dollars,social_feed_1,social_feed_2
3/4/2025 23:39:41,6632d4093ebf44b7fb54bd8b,55-64,Female,Jewish,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$80,000 - $89,999",Liberal,Spending time with family,Integrity,Analytical,Friendly,Reading,5,"Trust, Shared experiences",Travel,Having a child,Reliability ,Save it,Ignore all.  I don't react to social media posts unless it's something personal to me,Ignore all.  I don't react to social media posts unless it's something personal to me
3/4/2025 23:41:35,5c48ec2d91d23d0001b8b3fb,25-34,Female,No Religion,Asian,Undergraduate degree (BA/BSc/other),English,Urban,"$30,000 - $39,999",Liberal,Hobbies,Integrity,Introverted,"Reserved, Awkward",gaming,11,"Emotional connection, Shared experiences",Family,becoming a mother,consideration,spend it on my babies,ignore,ignore
3/4/2025 23:41:51,570bc1ffb9b52b00102db939,35-44,Female,No Religion,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$10,000 - $19,999",Liberal,Work,Compassion,Introverted,Reserved,video games,1,"Fun, Emotional connection",Financial stability,Graduating with honors from college.,thoughtfulness,Pay off my credit card.,"ignore: post-3fa5ef
ignore: post-a02de3
ignore: post-9e09d3
ignore: post-c31764
ignore: post-6be7d0
ignore: post-a41a79
ignore: post-b50e43
share: post-3b6b25
ignore: post-8b9e63
add-note: post-e7bb58: the article contains misinformation","ignore: post-ddbcb2
ignore: post-1718ae
ignore: post-0e91a2
ignore: post-cca0c0
ignore: post-7d2e8b
ignore: post-f7530f
ignore: post-950c89
ignore: post-c84e51
add-note: post-29054b: This is not true.
ignore: post-735100
ignore: post-eda706
ignore: post-9b758b
ignore: post-ccb7b4
ignore: post-21477d
ignore: post-bd8ac4
ignore: post-66bc98
ignore: post-5de5ff
add-note: post-6900e8: This is misinformation.
like: post-33e715"
3/4/2025 23:41:58,5ec6852ffa4c53071c789fe8,35-44,Female,Hinduism,Asian,Undergraduate degree (BA/BSc/other),English,Urban,"More than $150,000",Liberal,Spending time with family,"Compassion, Independence",Thoughtful,Reserved,Reading,4,"Fun, Emotional connection",Family,Birth of my niece,Loyalty,Save,Ignore,Like-post: post-ddbcb2
3/4/2025 23:43:25,66f1476e012c184af557ea45,35-44,Male,Christianity,American Indian or Alaska Native,Undergraduate degree (BA/BSc/other),English,Rural,"$30,000 - $39,999",Moderate,Work,Compassion,Thoughtful,Reserved,Video Games,10,"Trust, Emotional connection",Personal development,The day my daughter was born,Authenticity,Get the oil changed in my car,share-post: post-3b6b25 ,like-post:  post-bd8ac4 
3/4/2025 23:43:41,62fbaa7154448f35639decf0,18-24,Female,No Religion,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"Less than $10,000",Liberal,Spending time with family,Compassion,Introverted,"Friendly, Reserved",Cooking,2,"Emotional connection, Shared experiences",Personal development,College graduation,supportiveness,save it,"like-post: post-b50e43
share-post: post-3b6b25 
comment-post: post-9e09d3
add-note: post-e7bb58: contains misinformation about COVID-19","like-post: post-ddbcb2
share-post: post-735100 
comment-post: post-735100
add-note: post-29054b: contains misinformation about voter fraud"
3/4/2025 23:43:52,6722980e06a7821ba6c3a4a8,25-34,Non-Binary,Spiritual but not religious,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$20,000 - $29,999",Very liberal,Spending time with family,Compassion,"Introverted, Thoughtful, Analytical","Reserved, Neutral",gaming,2,"Trust, Emotional connection",Financial stability,moving out from my abusive family.,integrity.,save it.,action: ignore,action: ignore
3/4/2025 23:45:53,673fe7aa938b15c15b2f5e41,25-34,Male,Islam,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$60,000 - $69,999",Prefer not to say,Work,"Compassion, Independence","Introverted, Thoughtful, Outgoing","Friendly, Neutral",Watching pro wrestling,5,"Trust, Fun, Loyalty, Intellectual connection, Emotional connection",Financial stability,Graduating college,Loyalty,Buy some video games,like-post: post-3fa5ef,post_id: post-5de5ff 
3/4/2025 23:46:25,66f9a17ab28271f82b08e629,25-34,Male,No Religion,White or Caucasian,High school diploma/A-levels,English,Suburban,"$20,000 - $29,999",Moderate,Hobbies,Integrity,Extroverted,Reserved,making music,3,"Trust, Loyalty",Personal development,getting my dog,loyalty,buy some food,action,action
3/4/2025 23:47:15,67ad348ba2ba061e6ab47632,35-44,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$20,000 - $29,999",Liberal,Spending time with family,Compassion,Introverted,Reserved,Draw,4,"Trust, Shared experiences",Family,Having child,Trust,Pay bills,N,N
3/4/2025 23:48:50,65f4f9a55754b209484cfd9a,18-24,Female,No Religion,Black or African American,Undergraduate degree (BA/BSc/other),English,Suburban,Rather not say,Very liberal,Work,Independence,Outgoing,"Reserved, Awkward",Creative Writing,5,"Trust, Emotional connection",Personal development,Going to College,Reliability,Save it,like-post: post-a41a79,ignore
3/4/2025 23:49:34,5aec65676cc87b0001d70c7b,25-34,Male,No Religion,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$60,000 - $69,999",Very liberal,Work,Integrity,Extroverted,"Friendly, Reserved","Making things (woodworking, building models, etc.)",4,"Trust, Emotional connection",Personal development,Meeting my girlfriend/life partner,Sense of humor,Save it,add-note: post-e7bb58: this post may contain misinformation,"add-note: post-29054b: this post may contain misinformation
add-note: post-6900e8: this post may contain misinformation
like: post-33e715"
3/4/2025 23:50:37,659fff4087038351f6e42a45,35-44,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$100,000 - $149,999",Liberal,Work,Compassion,Outgoing,Awkward,Home decorating,5,"Loyalty, Emotional connection",Financial stability,Moving to New York by myself for college,Loyalty,Pay off debt,post-123,post-123
3/4/2025 23:50:50,63d82b2de40f94ceb14816cc,25-34,Male,No Religion,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$10,000 - $19,999",Moderate,Hobbies,"Integrity, Compassion, Community",Extroverted,Neutral,Writing,1,"Trust, Loyalty",Personal development,Buying a house,Loyalty,Save it,ignore,ignore
3/4/2025 23:51:09,67ad733cf9a01c2ad45b7822,25-34,Female,No Religion,White or Caucasian,Technical/community college,English,Rural,"$100,000 - $149,999",Conservative,Spending time with family,Integrity,Introverted,Reserved,gardening,1,"Fun, Intellectual connection",Family,having children,loyalty,buy something I need,like:post_id: post-e7bb58,"share:post_id: post-29054b 
share:post_id: post-6900e8"
3/4/2025 23:51:23,5edbd55ddc4bc508d77f8e41,35-44,Male,Spiritual but not religious,Black or African American,Technical/community college,English,Suburban,"$20,000 - $29,999",Liberal,Work,Compassion,Extroverted,Reserved,Video games,5,"Trust, Emotional connection",Personal development,Getting my Associates degree,Being honest ,Pay bills,"like-post: post-9e09d3
share-post: post-9e09d3","like-post: post-33e715
comment-post: post-33e715: Wallace & Gromit was decent movie."
3/4/2025 23:52:59,66bd8d2bf62eeef235e8e984,35-44,Female,No Religion,Asian,Undergraduate degree (BA/BSc/other),English,Suburban,"Less than $10,000",Liberal,Spending time with family,Integrity,Analytical,Reserved,Yoga,5,"Trust, Loyalty",Family,Birth of my daughter,Loyalty,Put it in my savings,"like-post: post-a02de3, post-3b6b25",like-post: post-post-0e91a2
3/4/2025 23:53:29,5f2fc0f05b67073c177aaece,35-44,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$20,000 - $29,999",Very liberal,Spending time with family,Compassion,"Extroverted, Thoughtful, Analytical",Reserved,crochet,5,"Loyalty, Intellectual connection",Financial stability,Having children.,nonjudgemental,Pay off medical debt.,ignore,like-post: post-ddbcb2
3/4/2025 23:53:41,67aa798bfa1acc34999c4c58,18-24,Female,Hinduism,Asian,High school diploma/A-levels,English,Suburban,"$10,000 - $19,999",Moderate,Work,"Integrity, Ambition, Independence","Thoughtful, Outgoing","Friendly, Reserved",music ,3,"Trust, Fun, Intellectual connection, Emotional connection",Career growth,joining my sorority ,secrecy,save it for my emergency fund ,"
like-post: post--9e09d3, post--b50e43, post-8b9e63
share-post: none
comment-post: no comments
","like-post: post-1718ae
"
3/4/2025 23:54:21,61501967e49a3d7e1977e4b4,75 and older,Female,Buddhism,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$40,000 - $49,999",Liberal,Meditation/spiritual contemplation,Compassion,Thoughtful,Neutral,Gardening,10,"Trust, Emotional connection",Personal development,Opening to our natural state that is beyond egoic self-definition; it permanently altered the course of this life,Openness,Donate it to the local food bank,"add-note: post-e7bb58: This information is demonstrably false and a dangerous disservice.
share-post: post-6be7b0
share-post: post- c31764
ignore all the other posts","add-note: post-6900e8: This is false and a dangerous disservice. See insurance commissions, institutes, etc. to verify.
share-post: post-ddbcb2
share-post: post-1718ae
add-note: post-29054b: This is false according to an AP analysis and the Wisconsin Elections Commission.
ignore all the others"
3/4/2025 23:54:48,6774e29d35bfe170ef2d81f4,45-54,Male,Spiritual but not religious,White or Caucasian,Technical/community college,English,Rural,"$50,000 - $59,999",Moderate,Exercising / working out,Independence,Outgoing,Reserved,Music,5,"Trust, Emotional connection",Personal development,Knowing love,Trust,Buy some supplements,Like-post: post-b50e43,Share-post: post-ddbcb2
3/4/2025 23:55:12,5df5dd87a6eb60405fef045c,35-44,Male,No Religion,White or Caucasian,High school diploma/A-levels,English,Urban,"$100,000 - $149,999",Conservative,Socializing,Compassion,Thoughtful,Friendly,pool,5,"Fun, Loyalty",Family,my child birth,noti=hing ,bank,no comment ,no comment 
3/4/2025 23:57:17,66568ff46433def917f4d344,18-24,Female,Spiritual but not religious,Asian,Undergraduate degree (BA/BSc/other),"English, Nepalese",Suburban,"Less than $10,000",Very liberal,Work,"Integrity, Compassion, Community","Introverted, Thoughtful",Friendly,Theatre,5,"Trust, Intellectual connection, Emotional connection",Personal development,"Spending the summer in Spain and gaining a new perspective on myself, my worldview and my friends",loyalty,donate it,like-post: post-a41a79,no response
3/4/2025 23:57:21,6750f2355fd9ba678f76fa5c,45-54,Female,Christianity,Black or African American,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$60,000 - $69,999",Liberal,Work,"Integrity, Compassion, Community",Extroverted,Friendly,Learning new technology,5,"Trust, Fun, Loyalty, Intellectual connection, Emotional connection, Shared experiences",Financial stability,The births of my children,Honesty,Save it,"comment: [post_id] with [content], limited to 250 characters","
Add a community note to provide context or fact-checking"
3/4/2025 23:57:34,677a78241429d0113746e0c8,25-34,Male,Christianity,Black or African American,Undergraduate degree (BA/BSc/other),English,Rural,"$60,000 - $69,999",Liberal,Work,"Integrity, Compassion","Introverted, Thoughtful","Confident, Friendly",working out,3,"Fun, Emotional connection",Financial stability,getting accepted to law school (this year),honesty,put it towards my law school deposit ,"like-post: post-6be7d0
share-post: post-8b9e63
add-note: post-e7bb58: misinformation","share-post: post-0e91a2
add-note: post-6900e8: misinformation 
like-post: post-bd8ac4"
3/4/2025 23:57:56,66e36c2a42057ef4775c2595,65-74,Male,Jewish,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$60,000 - $69,999",Moderate,Hobbies,"Integrity, Compassion, Community",Extroverted,Reserved,painting,5,"Trust, Loyalty",improvimg my health,marrying my current wife,trust,save it,ignore - post_id: post-8b9e63,share-post_id: post-0e91a2 
3/4/2025 23:58:04,663eed38de9f3609c772b7f9,55-64,Female,No Religion,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$20,000 - $29,999",Liberal,Relaxing by yourself,"Integrity, Independence",Introverted,Reserved,watching tv,21,"Trust, Intellectual connection",Financial stability,raising a child,non-judgmental,go out to dinner,"like post-6be7d0
share post-6be7d0
like post-a41a79
","like post-ddbcb2
add-note post-29054b: this is false
like post-735100 "
3/4/2025 23:58:18,6750d3484a42c2a4f44e09ce,35-44,Female,Christianity,White or Caucasian,Technical/community college,English,Rural,"$20,000 - $29,999",Very conservative,Work,"Integrity, Compassion, Community","Introverted, Thoughtful, Analytical","Confident, Friendly",Talking,3,"Trust, Fun, Emotional connection",Career growth,Getting married,communication,Put it toward our anniversary getaway,ignore,ignore
3/4/2025 23:59:53,5efe44bebdee09152fe08acc,35-44,Male,Apathiest,White or Caucasian,High school diploma/A-levels,English,Suburban,"Less than $10,000",Liberal,Hobbies,Compassion,Extroverted,Reserved,Frisbee Golf,7,"Trust, Fun",Personal development,Being born,Acceptance,Buy Frisbee Dics,No action,No action
3/5/2025 0:00:08,6630e01b7d69d22b8be429a6,25-34,Male,No Religion,Asian,Undergraduate degree (BA/BSc/other),English,Suburban,"$60,000 - $69,999",Moderate,Work,Independence,Extroverted,Reserved,watching videos,3,"Loyalty, Intellectual connection",Financial stability,Getting Married,Honesty,Save it ,like-post: post-a02de3 ,like-post:  post-eda706 
3/5/2025 0:00:20,663e251d0e5b9e5b42d5c0d6,18-24,Female,Christianity,Indian/Native American,Technical/community college,English,Suburban,"Less than $10,000",Conservative,Uni,"Integrity, Compassion, Ambition, Independence, Community, Christlikeness","Introverted, Thoughtful","Reserved, Neutral, Awkward",Research,6 ot 9,"Trust, Loyalty",Personal development,Passing courses or spiritual growth.,Non judgemental,"Save it for bills or food,","like-post: post-b50e43
share-post: post-e7bb58
comment-post:post-e7bb58: Crazy stuff!
add note: post-6be7d0: might be biased","like-post:  post-21477d 
share-post:  post-c84e51 
comment-post:    post-33e715        :  Cool history!
add-note:   post-9b758b        : Might be biased."
3/5/2025 0:00:26,6111a8e5c22c39a1c92edb70,35-44,Male,No Religion,White or Caucasian,High school diploma/A-levels,English,Suburban,"$70,000 - $79,999",Libertarian,Work,Integrity,Extroverted,Friendly,Sports,5,"Trust, Emotional connection",Family,Birth of children,Trust,gamble,comment-post: post-3fa5ef: This can't be real,like-post: post-0e91a2 
3/5/2025 0:00:30,6110888158573651261c3100,55-64,Female,Christianity,White or Caucasian,Secondary education (e.g. GED/GCSE),English,Urban,"$60,000 - $69,999",Moderate,Work,"Compassion, Ambition, Independence","Thoughtful, Analytical","Friendly, Neutral",walking,5,"Trust, Emotional connection",Family,birth of my daughter,honesty,buy food,like,like
3/5/2025 0:00:33,5df5dd87a6eb60405fef045c,35-44,Male,No Religion,White or Caucasian,High school diploma/A-levels,English,Urban,"$100,000 - $149,999",Conservative,Hobbies,"Compassion, Ambition","Introverted, Thoughtful","Friendly, Reserved",pool,5,"Trust, Loyalty",Family,childs birth,loyality,bank,no comment ,no comment 
3/5/2025 0:00:42,64666a24d4af630f6124f177,55-64,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Suburban,"$20,000 - $29,999",Moderate,Spending time with family,Integrity,"Introverted, Analytical",Friendly,Traveling,5,"Trust, Loyalty",Financial stability,"
when my dughter passed.",Loyalty,Save it,like,I've never watched it.
3/5/2025 0:00:42,6638d7349906ca570c2b337b,35-44,Female,Spiritual but not religious,White or Caucasian,Technical/community college,English,Rural,"$50,000 - $59,999",Moderate,Spending time with family,Integrity,Outgoing,Friendly,Walking/Jogging,5,"Fun, Emotional connection",Family,"Hands down, being a mother. ",Honesty but being funny really helps too,Buy my children something. ,Like and comment. I wouldn't share any of these stories. ,Like and comment. 
3/5/2025 0:00:48,67ac22b010cbeaf07e8da137,45-54,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Suburban,"$30,000 - $39,999",Liberal,Work,Integrity,Thoughtful,Reserved,Play phone games,5,Trust,Career growth,The birth of my children,Trustworthy,Pay for the test I need to pass for a promotion,"- like: post-3fa5ef
- share: c31764 
- comment:post-6be7d0  with [content], limited to 250 characters
- add-note: post-3fa5ef with [content]: Add a community note to provide context or fact-checking
- ignore 8b9e63","Valid actions:
- like: post-33e715
- share: post-ddbcb2
- comment: post-bd8ac4  with [content], limited to 250 characters
- add-note: post-9b758b with [content]: Add a community note to provide context or fact-checking
- ignorepost-66bc98"
3/5/2025 0:00:58,67abd57a8bc907775a0d58fa,65-74,Female,No Religion,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$70,000 - $79,999",Very liberal,Spending time with family,Integrity,Extroverted,Reserved,Reading,5,Trust,Family,My wedding,Honestly ,Go out to eat,Like post,Ignore
3/5/2025 0:01:32,663ab87bffa8dede273ec3f4,25-34,Female,Jewish,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$20,000 - $29,999",Very liberal,Work,Compassion,Introverted,Reserved,ceramics,3,"Trust, Shared experiences",Career growth,My undergraduate college graduation ,loyalty ,I would put the $100 in my savings account. ,"like-post: post-c31764
share-post: post-6be7d0 
add-note: post- post-6be7d0: This is definitely 100% true! 
add-note:post-e7bb58: ""This article contains misinformation. Vaccines do protect you from all forms of COVID. ","add-note: post-29054b: This is all misinformation. There was NO voter fraud in the 2020 election. 
comment-post: post-21477d: I wish we were like the UK but we are not. "
3/5/2025 0:02:40,5d16339963a8fa00166f6e26,25-34,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Urban,"$30,000 - $39,999",Liberal,Work,Compassion,Introverted,Friendly,Dancing,7,"Loyalty, Intellectual connection",Career growth,Graduating from college,Loyalty,Go out for a nice meal with my partner,"like-post: post-a02de3
comment-post: post-9e09d3: wonder how many of these products will be replaced in 2025
comment-post: post-c31764: Dems really could have done more to use social media to influence the next generation of voters
like-post: post-6be7d0 
comment-post: post-3b6b25 : Wish I saw this before! Apple TV has great series but too expensive to pay year-round
comment-post: post-e7bb58: It's ineffective due to lack of herd immunity too ","comment-post: post-ddbcb2: I wonder what the underlying mechanisms is perhaps endometriosis? 
comment-post: post-1718ae: Just saw domestic violence tonight next door. It's so prevalent in our society so this is much needed! 
like-post: post-0e91a2 
like-post: post-c84e51
like-post: post-9b758b
comment-post: post-6900e8: Heart-breaking for the families following the science"
3/5/2025 0:02:55,5eb342dff78ab11407daf144,18-24,Female,Buddhism,Asian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"Less than $10,000",Moderate,Relaxing by yourself,Integrity,Outgoing,Reserved,Working out ,2,Shared experiences,Career growth,Traveling to vietnam with my family,loyalty,Deposit it in my bank account,ignore,ignore
3/5/2025 0:03:03,6140c38ec9e5109e65060a70,55-64,Female,Christianity,Asian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"Less than $10,000",Liberal,Work,Compassion,Thoughtful,Neutral,video games,5,"Trust, Fun",Personal development,raising children,trustworthy,buy clothes,add-note: post-e7bb58 has misinformation,"like:post-33e715
comment-post: post-33e715: I love Wallace and Gromit!  So excited to see the return of the penguin."
3/5/2025 0:03:51,675eea490536784119d3a645,55-64,Male,Christianity,White or Caucasian,Technical/community college,English,Suburban,"$100,000 - $149,999",Moderate,Work,"Integrity, Compassion","Extroverted, Thoughtful",Friendly,scuba diving,9,"Trust, Shared experiences",Personal development,birth of my children,honesty,save it,"-like: post_id: post-a41a79, - share: post_id: post-9e09d3, share: post_id: post-e7bb58","- share: post_id: post-0e91a2 , - like: post_id: post-f7530f, comment-post:post_id: post-9b758b: Gambling like this IS a sickness!"
3/5/2025 0:04:10,640542a41c8bf2690ddcf271,55-64,Male,Christianity,White or Caucasian,High school diploma/A-levels,English,Suburban,"Less than $10,000",Conservative,Hobbies,Integrity,Analytical,Reserved,trading stocks.,"I don't know if the question means how many stats, cities, or dwellings, so I don't know how to answer the question.",Trust,Financial stability,One of my most meaningful life events was attending college.,The trait I value most in friends is honesty.,I would put $100 in a high yield savings account.,ignore,I would ignore all of it.
3/5/2025 0:04:41,66f26de8c801a62c5db9e718,35-44,Male,No Religion,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$80,000 - $89,999",Moderate,Work,Integrity,Outgoing,Reserved,Hiking ,5,"Trust, Emotional connection",Career growth,Graduating college,Dedication,Put gas in my car,"like-post: post-b50e43
share-post: post-e7bb58
comment-post: post-3b6b25: I am interested in this!
add-note: post-9e09d3: the article contains relevant information ","like-post: post-0e91a2
share-post: post-9b758b
comment-post: post-950c89: how frightening!
add-note: post-66bc98: the article contains information that may be sensitive to younger audiences"
3/5/2025 0:05:12,663a77175dc55e36c6f4d31f,25-34,Female,No Religion,Hispanic or Latino,Undergraduate degree (BA/BSc/other),English,Urban,"$50,000 - $59,999",Very liberal,Work,"Integrity, Compassion, Community","Extroverted, Thoughtful, Outgoing","Confident, Friendly, Reserved",reading,5,"Trust, Loyalty, Emotional connection",Financial stability,Graduating college,Shared beliefs,Pay a bill,like: post-b50e43,ignore
3/5/2025 0:05:21,663a8c4fabf5f8f4ddb21bbd,35-44,Female,No Religion,biracial,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$60,000 - $69,999",Very liberal,Spending time with family,"Integrity, Compassion, Independence",Thoughtful,Reserved,exercise,4,"Trust, Intellectual connection",Financial stability,birth of my children,dependability,invest,"like-post: post-3fa5ef
comment-post:post-a02de3: sounds like a good deal
like-post:post-9e09d3 
share-post: post-c31764  
share-post:post-6be7d0 
comment-post: moo deng 4 lyfe!
like-post:post-b50e43
ignore-post:post-3b6b25 
ignore-post: post-8b9e63
Share-post:post-e7bb58","share-post:post-ddbcb2
comment-post:post-1718ae : something positive coming from something do tragic
ignore- post:post-0e91a2 
ignore-post: post-cca0c0
comment-post:post-6900e8 : this is absurd
"
3/5/2025 0:06:08,5fe354a2e44df4fb4634bbc3,35-44,Female,Christianity,African American/Cuban/Native American/Jamaican,High school diploma/A-levels,English,Suburban,"Less than $10,000",Conservative,Spending time with family,Integrity,Outgoing,Reserved,Cooking,1,"Trust, Loyalty",Financial stability,Having ny children,Loyalty,Spend it on my kids,like-post: post-8b9e63,like-post: post-0e91a2
3/5/2025 0:06:11,6761ea1f2b9c012381a3a8f1,55-64,Female,Spiritual but not religious,White or Caucasian,High school diploma/A-levels,English,Urban,"$10,000 - $19,999",Liberal,Relaxing by yourself,Integrity,Outgoing,Neutral,Making Jewelry,5,"Trust, Intellectual connection",Financial stability,Having kids,Loyalty,Buy groceries,Like post_id: post-c31764  Like post_id: post-e7bb58,Like post_id: post-9b758b
3/5/2025 0:06:43,643ac28192af48c396d97709,45-54,Non-Binary,No Religion,White or Caucasian,High school diploma/A-levels,English,Suburban,"Less than $10,000",Very liberal,Relaxing by yourself,Compassion,Introverted,Awkward,hiking,11,"Intellectual connection, Emotional connection",Financial stability,coming to terms with my lack of faith,"shared, connected space",may looming bills,add-note: post-e7bb58: post contains misleading and potentially dangerous misinformation,add-note: post-29054b: misinformation; needs to be fact-checked
